Search,Authors,Article Title,Source Title,DOI,Abstract,Relevant?,Actually considers both food and fuel?,Country Context,Country grouping,Method,Method grouping - uses spatial analysis?,Forest,Forest grouping,,,,,,,
food fuel suitability,"Ghani, WAWA; Salleh, MAM; Adam, SN; Shafri, HZM; Shaharum, SN; Lim, KL; Rubinsin, NJ; Lam, HL; Hasan, A; Samsatli, S; Tapia, JF; Khezri, R; Jaye, IFM; Martinez-Hernandez, E",Sustainable bio-economy that delivers the environment-food-energy-water nexus objectives: The current status in Malaysia,FOOD AND BIOPRODUCTS PROCESSING,,"Biomass is a promising resource in Malaysia for energy, fuels, and high value-added products. However, regards to biomass value chains, the numerous restrictions and challenges related to the economic and environmental features must be considered. The major concerns regarding the enlargement of biomass plantation is that it requires large amounts of land and environmental resources such as water and soil that arises the danger of creating severe damages to the ecosystem (e.g. deforestation, water pollution, soil depletion etc.). Regarded concerns can be diminished when all aspects associated with palm biomass conversion and utilization linked with environment, food, energy and water (EFEW) nexus to meet the standard requirement and to consider the potential impact on the nexus as a whole. Therefore, it is crucial to understand the detail interactions between all the components in the nexus once intended to look for the best solution to exploit the great potential of biomass. This paper offers an overview regarding the present potential biomass availability for energy production, technology readiness, feasibility study on the techno-economic analyses of the biomass utilization and the impact of this nexus on value chains. The agrobiomass resources potential and land suitability for different crops has been overviewed using satellite imageries and the outcomes of the nexus interactions should be incorporated in developmental policies on biomass. The paper finally discussed an insight of digitization of the agriculture industry as future strategy to modernize agriculture in Malaysia. Hence, this paper provides holistic overview of biomass competitiveness for sustainable bio-economy in Malaysia. (C) 2019 Published by Elsevier B.V. on behalf of Institution of Chemical Engineers.",Y,Y,Malaysia,Other SE Asia,remote sensing,Yes,Not considered,Not included,,,,,,,
food fuel suitability,"Lossau, S; Fischer, G; Tramberend, S; van Velthuizen, H; Kleinschmit, B; Schomäcker, R",Brazil's current and future land balances: Is there residual land for bioenergy production?,BIOMASS & BIOENERGY,,"This study presents a new database of land use categories in Brazil at a spatial resolution of 30 arc-second (about 1 km(2)). The spatial representation of current major land uses formally combines agricultural statistics from Brazil's latest census of the year 2006 at micro-region level and the Food and Agriculture Organization 2010 forest statistics with spatial land cover data sets. Spatial allocation (downscaling) algorithms were applied to obtain a spatial distribution of seven major land use categories. Remaining shares in each grid-cell were termed residual land, and were categorized according to legal protection status, biodiversity value, and whether they belong to the territory of the Amazon biome. We found a total of 84 Mha residual land of which 37 Mha occurred outside the territory of the Amazon biome and was neither legally protected nor categorized as highly biodiverse land. The 37 Mha available residual land equates to 4.4% of Brazil's geographical area and to 50% of its current cultivated land area. We assessed land quality using the Agro-ecological Zones modelling framework provides land suitability and productivity estimates of the available residual land. Nearly one-third of land emerged of prime quality and is therefore promising for biofuel feedstock production. Analysis of potential food-fuel competition suggests that until 2030 productivity improvements on current pastures could accommodate land demand for Brazil's increasing cattle herd and expanding croplands. If these productivity increases could be achieved on current agricultural land, residual land could provide areas for the sustainable expansion of biofuel feedstock production. (C) 2015 Elsevier Ltd. All rights reserved.",Y,Y,Brazil,South America,spatial allocation algorithms; agro-ecological zones modelling framework,Yes,Not considered,Not included,,,,,,,
food fuel suitability,"Tanneberger, F; Birr, F; Couwenberg, J; Kaiser, M; Luthardt, V; Nerger, M; Pfister, S; Oppermann, R; Zeitz, J; Beyer, C; van der Linden, S; Wichtmann, W; Närmann, F","Saving soil carbon, greenhouse gas emissions, biodiversity and the economy: paludiculture as sustainable land use option in German fen peatlands",REGIONAL ENVIRONMENTAL CHANGE,,"Peatlands in the European Union are largely drained for agriculture and emit 25% of the total agricultural greenhouse gas emissions. Drainage-based peatland use has also negative impacts on water quality, drinking water provision and biodiversity. Consequently, key EU environmental policy objectives include the rewetting of all drained peatlands as an essential nature-based solution. Rewetting of peatlands can be combined with site-adapted land use, so-called paludiculture. Paludiculture produces biomass from wet and rewetted peatlands under conditions that maintain the peat body, facilitate peat accumulation and can provide many of the ecosystem services associated with natural, undrained peatlands. The biomass can be used for a wide range of traditional and innovative food, feed, fibre and fuel products. Based on examples in Germany, we have analysed emerging paludiculture options for temperate Europe with respect to greenhouse gas fluxes, biodiversity and indicative business economics. Best estimates of site emission factors vary between 0 and 8 t CO(2)eq ha(-1) y(-1). Suitability maps for four peatland-rich federal states (76% of total German peatland area) indicate that most of the drained, agriculturally used peatland area could be used for paludiculture, about one-third of the fen area for any paludiculture type. Fen-specific biodiversity benefits from rewetting and paludiculture, if compared to the drained state. Under favourable conditions, paludiculture can be economically viable, but costs and revenues vary considerably. Key recommendations for large-scale implementation are providing planning security by paludiculture spatial planning, establishing best practice sites and strengthening research into crops, water tables and management options.",Y,Y,EU,Europe,spatial analysis,Yes,Not considered,Not included,,,,,,,
food fuel suitability,"Liu, TT; Huffman, T; Kulshreshtha, S; McConkey, B; Du, YN; Green, M; Liu, JG; Shang, JL; Geng, XY","Bioenergy production on marginal land in Canada: Potential, economic feasibility, and greenhouse gas emissions impacts",APPLIED ENERGY,,"Growing energy crops such as perennial grasses and trees on marginal land offers the possibility of reducing the competition with food crops for land resources. Identifying the productivity, economic feasibility and greenhouse gas (GHG) emissions impact is the premise of our study on using marginal land for bioenergy production in Canada. The area of marginal land available was identified by intersecting national maps of land suitability and land cover. The costs and potential returns of growing energy crops on marginal land were then analyzed, and the GHG emissions were evaluated using a GHG emissions model. The results indicated that approximately 9.48 million ha of potentially useable marginal land was available in Canada. The land cover of the available marginal land consists of grassland (68.2%) and shrubland (31.8%). If the available marginal land was completely utilized, the biomass production would be 23.7 million tonnes of switchgrass or 51.2 million tonnes of hybrid poplar. The production of biofuel from these biomass sources would be 5.69 and 11.26 billion L, equivalent to 14.0% and 27.7% of the total transportation gasoline consumption in Canada in 2014, for switchgrass and poplar, respectively. On the marginal land, the average production cost was estimated to be approximately 68.2 CAD $/t (173.8 CAD $/ha) for switchgrass, and 26.2 CAD $/t (140.2 CAD $/ha) for coppiced hybrid poplar. The production of biomass showed a positive net return on marginal land in Ontario (eastern Canada), with a biomass price of 99 CAD $/t and 35 CAD $/t for switchgrass and coppiced hybrid poplar, respectively. When the biomass price is less than 101 CAD $/t, growing switchgrass in the provinces of Alberta and Saskatchewan, where 69% of Canada's marginal land is located, was not considered economically attractive. By replacing fossil fuel, the maximum potential switchgrass production on marginal land would reduce GHG emissions by 29.49 million t CO2-eq/yr. However, when considering the economic aspect of production, the potential reduction of 6.1 million tonnes CO2/yr from planting poplar is more viable. Further analysis of the broader economic value of the current use of marginal land (primarily livestock grazing) and the impacts on biodiversity, soil quality, and water resources is needed to completely assess the practicality of a widespread increase in biomass production for bioenergy on Canada's marginal land.",Y,Y,Canada,North America,remote sensing,Yes,Considered,Included,,,,,,,
food energy suitability,"Hua, E; Han, XXQ; Engel, BA; Guan, JJ; Sun, SK; Wu, PT; Wang, B; Wang, YB",Developing a sustainable assessment framework for identifying industrial water suitability: Perspective on the water-energy-food nexus,AGRICULTURAL SYSTEMS,,"CONTEXT: Water, energy, and food systems have been deteriorating in security, stability, and sustainability throughout their extraction, production, and utilization, forcing the water-energy-food nexus to face security issues such as competition and mismatch between the systems' resources and environmental pollution. Consequently, a holistic evaluation of sustainable development among these systems is necessary, employing a suitability-focused perspective. OBJECTIVE: This study defined suitability connotation in terms of the internal and external environments of the water-energy-food nexus. Based on the resource supply, resource conversion, and environmental impact of the suitability connotation, plus the fact that water is a strategic resource for energy and food industries, water suitability is essential for the sustainable development of the system's resources. Hence, the primary goal is to illustrate the suitability and suitability effects of water use in energy and food industries, to guarantee the sustainable development of industrial water use. METHODS: A sustainable assessment framework for suitability with the water system as the core was constructed based on the Haken model, and China was selected for a case study. On this basis, using the water footprint theory and index system method, the suitability effects of industrial water use were evaluated by adding the perspectives of security, stability, and sustainability of the water-energy-food nexus. RESULTS AND CONCLUSIONS: The results showed that Hebei, Shandong, Ningxia, and Xinjiang had better suitability in 2019, and the provinces with poor suitability were Shaanxi, Jilin, and Heilongjiang, reaching 1.00, 0.29, and 0.27, respectively. Hence, the Haken model identified the order parameter of water use in energy and food production. The model was used to construct multiple scenarios, and multidimensional adjustment measures were proposed to improve resource suitability among industries. From 1997 to 2019, all provinces demonstrated a consistent improvement in suitability effects. SIGNIFICANCE: The suitability assessment can differentiate the degree of competition and resource matching between water-energy-food systems and serve the sustainable management of industrial production. By analyzing the water suitability in energy and food industries, the adjustment measures can optimize the water allocation for agriculture and industry, guarantee the security of resources, and maintain the system's sustainable development.",Y,Y,China,Other Asia,spatial and economic modelling,Yes,Not considered,Not included,,,,,,,
food energy suitability,"Xu, P; Wu, SQ; Zhang, JM; Wu, XF; Jia, BY; Dai, JY; Yu, L; Zhang, Y; Qi, YF","Suitability Evaluation of the Water-Energy-Food System: A Case Study in Sichuan Province, China",FRONTIERS IN ENVIRONMENTAL SCIENCE,,"Water, energy, and food are the basic resources on which human beings depend for survival and development. However, these resources, ecosystem, society, and economy interact with each other in highly complex and interlinked ways, that is, the water-energy-food (WEF) nexus, which is difficult to evaluate quantitatively, particularly whether there is a harmonious, matching, and benign interaction in the WEF system for a given spatial and temporal scale, that is, the WEF system suitability. Thus, we developed a comprehensive model for the WEF system suitability evaluation, including stability, coordination, and sustainability. The model mainly contains the index system construction, weight calculation, and TOPSIS evaluation method. Specifically, we proposed an improved weight calculation method (i.e., network assignment method) based on the network analysis method and Amal's method. A case study in Sichuan Province, China, has shown that 1) the overall level of the WEF system suitability in Sichuan Province is above medium and shows a fluctuating trend; 2) in terms of the proportion of each indicator to the total, the contribution of coordination indicators to the comprehensive evaluation decreases slightly, and the contribution of sustainability indicators is greater, but the three remain in a balanced state, as evinced by good underlying conditions and potential for future development; 3) the network assignment method can obtain more suitable statistical characteristics (standard deviation, mean, maximum, and minimum) compared with the Entropy method, Amal's method, and analytic network process method, which are consistent with the actual conditions in the study area. In general, the evaluation results obtained by the network assignment method can better characterize the nexus at the core of complex multi-resource systems and have significant advantages in the application of comprehensive evaluation of the suitability of WEF systems.",Y,Y,China,Other Asia,"Index system construction (developing indicators for stability, coordination, and sustainability), Weight calculation using a new Network Assignment Method (an improvement over existing methods like Entropy, Amal’s, and Analytic Network Process), TOPSIS (Technique for Order Preference by Similarity to Ideal Solution) for multi-criteria evaluation., no spatial analysis",No,Not considered,Not included,,,,,,,
food energy suitability,"Viccaro, M; Caniani, D; Masi, S; Romano, S; Cozzi, M",Biofuels or not biofuels? The Nexus Thinking in land suitability analysis for energy crops,RENEWABLE ENERGY,,"Biofuels play a key role in the decarbonization process of the transport sector contributing to climate change mitigation, energy security and rural development. However, the competition between energy and food in the use of resources, such as land, water and energy input, requires a robust and integrated methodological framework to promote a holistic sustainable resource management. Here, we propose a land suitability model for energy crops to analyze the dynamic interrelationships between land, water and energy, with the aim of promoting the efficient use of resources in the bioenergy context. The model was developed using multi-criteria decision analysis (MCDA) techniques in geographic information systems (GIS) integrated with the Water-Energy-Food nexus approach. The model was tested for the Basilicata region (southern Italy), comparing two energy crops: (i) rapeseed (Brassica napus L.) and (ii) cardoon (Cynara cardunculus L.). The application to the case study shows the importance of the land suitability analysis to identify the most suitable crop in a given territory, while the nexus spatial analysis for locating the suitable areas where a more efficient use of water, energy and land resources is reached. The results revealed also that the use of irrigation water would allow greater use efficiency of the other resources, such as land and energy, an aspect not to be underestimated in the energy, land and agricultural planning processes. The research work contributes to the debate on the sustainability of bioenergy, so that they can represent a sustainable solution to the energy issue and climate change. (C) 2022 Elsevier Ltd. All rights reserved.",Y,Y,Italy,Europe,"MCDA, WEF nexus, includes spatial analysis",Yes,Not considered,Not included,,,,,,,
food energy suitability,"Chapagain, K; Babel, MS; Karthe, D; Stamm, J","Integrated assessment of water-energy-food nexus: conceptual framework and application to the Ping River basin, Thailand",INTERNATIONAL JOURNAL OF WATER RESOURCES DEVELOPMENT,,"Water, energy and food are the three foremost vital resources that need to be protected for human existence and sustainable development. The study develops an indicator-based framework for integrated assessment of the water-energy-food nexus at the river basin scale. The framework is designed to have three successive levels for the assessment. The proposed three-tiered assessment framework can aid concerned resources management authorities to evaluate the water-energy-food nexus and also to identify the action required to enhance resource productivities. The suitability of the framework is demonstrated through its application to the Ping River basin in Thailand.",Y,Y,Thailand,Other SE Asia,"indicator based analysis, no spatial analysis",No,Not considered,Not included,,,,,,,
food energy suitability,"Cronin, J; Zabel, F; Dessens, O; Anandarajah, G",Land suitability for energy crops under scenarios of climate change and land-use,GLOBAL CHANGE BIOLOGY BIOENERGY,,"Bioenergy is expected to play a critical role in climate change mitigation. Most integrated assessment models assume an expansion of agricultural land for cultivation of energy crops. This study examines the suitability of land for growing a range of energy crops on areas that are not required for food production, accounting for climate change impacts and conservation requirements. A global fuzzy logic model is employed to ascertain the suitable cropping areas for a number of sugar, starch and oil crops, energy grasses and short rotation tree species that could be grown specifically for energy. Two climate change scenarios are modelled (RCP2.6 and RCP8.5), along with two scenarios representing the land which cannot be used for energy crops due to forest and biodiversity conservation, food agriculture and urban areas. Results indicate that 40% of the global area currently suitable for energy crops overlaps with food land and 31% overlaps with forested or protected areas, highlighting hotspots of potential land competition risks. Approximately 18.8 million km(2)is suitable for energy crops, to some degree, and does not overlap with protected, forested, urban or food agricultural land. Under the climate change scenario RCP8.5, this increases to 19.6 million km(2)by the end of the century. Broadly, climate change is projected to decrease suitable areas in southern regions and increase them in northern regions, most notably for grass crops in Russia and China, indicating that potential production areas will shift northwards which could potentially affect domestic use and trade of biomass significantly. The majority of the land which becomes suitable is in current grasslands and is just marginally or moderately suitable. This study therefore highlights the vital importance of further studies examining the carbon and ecosystem balance of this potential land-use change, energy crop yields in sub-optimal soil and climatic conditions and potential impacts on livelihoods.",Y,Y,Russia and China,Other Asia,"fuzzy logic model wth two climate scenarios, includes spatial analysis",Yes,Considered,Included,,,,,,,
food energy suitability,"Dauber, J; Miyake, S",To integrate or to segregate food crop and energy crop cultivation at the landscape scale? Perspectives on biodiversity conservation in agriculture in Europe,ENERGY SUSTAINABILITY AND SOCIETY,,"Biodiversity is severely declining in intensively managed agriculture worldwide. In response, land-management strategies for biodiversity conservation on farmland are in debate, namely ecological intensification and land sparing vs. land sharing. In parallel, there is a recent food vs. energy debate stimulated by an increasing competition for land resources. Despite clear overlaps between these two debates, they were rarely connected in previous research. This paper aims to stimulate a discussion by providing a contextual link between biodiversity conservation strategies and options for future energy crop deployment. Therefore, nine conceptual land-use scenarios are developed, and then, the potential biodiversity implications are discussed based on the findings from past and ongoing research. These scenarios include the integration and segregation of both food and energy crops on lands with a range of productivity and suitability for agricultural production. We assume that the clear segregation between food crops on productive land and energy crops on marginal land is less likely to be a solution of mitigating the problems related to the biodiversity decline, especially in the European agricultural landscape context. In contrast, the integration of food and energy crop production systems at the farm to landscape scale has greater potential for ecological intensification, although conflicts with traditional nature conservation targets may arise. We conclude that broadening the perspectives of biodiversity conservation in agriculture is crucial, and the inclusion of energy crop production into the recent debates on biodiversity conservation strategies is helpful.",Y,Y,Europe,Europe,"landscape mosaic scenario comparison, includes spatial analysis",Yes,Not considered,Not included,,,,,,,
food energy suitability,"Yuan, QL; Meng, FX; Li, WJ; Lin, JY; de Oliveira, JAP; Yang, ZF",Tradeoff optimization of urban roof systems oriented to food-water-energy nexus,APPLIED ENERGY,,"Urban roof development serve as a form of urban tinkering that could provide favorable conditions to meet wicked food, water, and energy challenges. In this research, three urban roof systems are designed featuring food production, rainwater collection, building energy saving, and photovoltaic power generation, which are named the bare roof system, green roof system, and open-air farming roof system. Here we establish a generalizable framework to reveal the multifaceted tradeoffs of urban roof schemes integrating geographic information system, life cycle assessment, and multi-objective optimization and decision-making. Testing the framework in a typical compact city Shenzhen, China, results show that the rooftop suitability for food-water-energy function development within the city ranges from 26.21 % to 42.83 %. When implementing a city-wide roof system upscaling, the harvested rainwater on rooftops would contribute to 82.5 % of urban recycled water utilization target in 2035 and exhibit the fewest economic costs, but comes at the cost of life cycle carbon emissions and land occupation with 1850 kt and 140 km2. City-wide roof farming scenario shows potential to achieve the local selfsufficiency of vegetables, and stands out as the avoided transboundary energy footprints which are 4.5 times greater than life cycle energy consumption. Our research can foster the multiple tradeoff understanding between upscaling roof systems and urban food-water-energy nexus. The findings will assist in multi-objective decisionmaking for roof planning and sustainable transition in cities.",Y,Y,China,Other Asia,"GIS, LCA, Multi objective optimization and decision-making",Yes,Not considered,Not included,,,,,,,
food energy suitability,"Supe, H; Abhishek, A; Avtar, R",Assessment of the solar energy-agriculture-water nexus in the expanding solar energy industry of India: An initiative for sustainable resource management,HELIYON,,"The rapid expansion of solar energy in India poses challenges in the context of cropland encroachment and water-resource scarcity. To help address these challenges, we used open access satellite observations and GIS technologies over Earth Engine platform to devise the Solar Panel Index (SPI) for efficient detection of solar farms, achieving a Land use/Land cover classification accuracy of 89 %. We have used cropland, water availability, power grid and land surface temperature data-sets for generation of land suitability map. Sentinel-2 data-sets along with SPI were used to develop solar farm locations and their estimated installed capacity within the study area. The outcomes from the study depicted that over 40 % of all solar farms in the country are located on agricultural land, with the highest seen in Karnataka (73.55 %) followed by Tamil Nadu (68.81 %). Furthermore, high installed capacity coincides with low groundwater depths, exacerbating local water strain. Madhya Pradesh was found to have almost no power plant located within 5 km of surface water bodies. Our findings emphasize the significance of the solaragriculture-water (SAW) nexus for sustainable development. Using high-resolution Land Suitability Map (LSM) as a decision-making criteria for allocating land for power generation reveals that Rajasthan holds the highest potential for solar energy installation. Our integrated approach considering the interplay between solar-energy production, agriculture, and water-resource management contributes to the sustainable growth of the solar-energy sector and regional development.",Y,Y,India,Other Asia,"GIS, remote sensing",Yes,Not considered,Not included,,,,,,,
food energy suitability,"Williams, HJ; Wang, YP; Yuan, B; Wang, HM; Zhang, KM",Rethinking agrivoltaic incentive programs: A science-based approach to encourage practical design solutions,APPLIED ENERGY,,"Agrivoltaic systems are promising solutions to address global food and energy challenges by combining agriculture and solar photovoltaics. However, the lack of appropriate regulations to define and guide their implementation constrains the growth of agrivoltaic systems in the U.S. This study uses a shading and radiation tool to evaluate an existing agrivoltaic incentive program that defines agrivoltaic designs based on shading reduction limits and panel height requirements. Our analysis indicates that structuring policy requirements around shading, and not light availability, may lead to an underestimation of crop suitability by neglecting diffuse radiation. Furthermore, we show that agrivoltaic systems can avoid increasing panel height if policy acknowledges use-case scenarios where farming only occurs between rows. In light of these insights, this study proposes two key policy recommendations: (1) benchmark crop suitability based on daily light integral (DLI) requirements for a shade-intolerant crop selected to represent a prevalent crop in the region, and (2) include an incentive scenario where agriculture is only required between rows. These two recommendations can potentially incentivize designs that are practical and closer in cost to conventional solar farms, thereby accelerating the adoption of costeffective agrivoltaic systems.",Y,Y,United States,North America,"shading and radiation tool, no spatial analysis",No,Not considered,Not included,,,,,,,
food energy suitability,"Fleischmann, J; Birkel, C; Blechinger, P; Ribbe, L; Nauditt, A; Corigliano, S; Platzer, W",Guiding the data collection for integrated Water-Energy-Food-Environment systems using a pilot smallholder farm in Costa Rica,ENERGY NEXUS,,"Smart integration of water, energy, agriculture, and environmental systems can create synergies, increase socio-economic benefits, and minimize environmental impact. However, effective planning of integrated water-energy -food-environment systems (iWEFEs) requires high resolution temporal and spatial data on various environmental and socioeconomic variables. Insufficient data availability and accessibility hampers the implementation of iWEFEs, particularly in remote areas of low-and middle-income countries. Addressing this gap, first, essential variables for the planning of iWEFEs are identified. Next, remote datasets are evaluated and selected regarding their suitability to serve for the planning of iWEFEs using a multi-criteria-analysis considering data accessibility, spatial coverage, spatial resolution, temporal resolution, and temporal coverage. Remote and in-situ data collection for the identified WEFE variables are implemented using a pilot case study of a smallholder farm in the data-scarce tropics of Costa Rica. The remote data collection is automated via APIs to open servers, data analysis and data visualization scripts, and complemented by an online survey. In-situ measurements are recommended to address data gaps in remote sensing, which are especially prevalent in the water domain. The research shall lay the foundation for free, open and automated data collection enabling the planning of iWEFEs worldwide.",Y,Y,Costa Rica,North America,spatial analysis,Yes,Considered,Included,,,,,,,
food energy suitability,"Qi, XX; Li, JC; Yuan, WH; Wang, RY",Coordinating the food-energy-water nexus in grain production in the context of rural livelihood transitions and farmland resource constraints,RESOURCES CONSERVATION AND RECYCLING,,"Understanding the interconnections and tradeoffs between food, energy, and water (FEW) in grain production, which are essential for agricultural sustainability, remains an elusive yet important task. We propose a four-step analysis method for exploring potential approaches to coordinating the FEW nexus in grain production based on a conceptual framework that incorporates the impact of rural livelihood transitions and farmland resource constraints. We apply this method to a small-scale watershed in Hunan Province, China using data from land-use maps, farm household surveys, farmland quality surveys, and cropping-pattern surveys. Transitions of rural livelihoods have led farmlands to become increasingly large in scale. The combined impacts of this concentration of large-scale farms and the government subsidy policy, which favors double cropping, undermines the FEW nexus. Our findings suggest two operational approaches for coordinating the FEW nexus in rice production. One is to develop adaptive agricultural policies that support farmers whose aggregate performance on rice production is superior or more balanced. The other is to optimize cropping patterns based on the suitability of farmland for grain planting.",Y,Y,China,Other Asia,"four-step analysis method, includes spatial analysis",Yes,Not considered,Not included,,,,,,,
food energy suitability,"Leirpoll, ME; Næss, JS; Cavalett, O; Dorber, M; Hu, XP; Cherubini, F",Optimal combination of bioenergy and solar photovoltaic for renewable energy production on abandoned cropland,RENEWABLE ENERGY,,"Ambitious climate change mitigation scenarios require large-scale deployment of bioenergy and solar photovoltaics. Utilizing recently abandoned cropland for renewable energy production is a promising option for energy supply while reducing competition for land and food security. However, the magnitude of abandoned cropland and its potential for renewable energy production is still unclear. Here, we mapped recently abandoned croplands at a global level and assessed the site-specific primary energy potentials for bioenergy and solar photovoltaics considering local climatic conditions, energy yields, and socio-economic feasibility constraints to identify optimal land use for renewable energy production. Of the 83 Mha of the identified abandoned cropland between 1992 and 2015, 68% of the area presented higher development potentials for the establishment of solar photovoltaic compared to dedicated bioenergy crops. In total, 125 EJ/year of primary energy can be produced with this optimal land management, of which 114 EJ/year is from solar photovoltaic and 11 EJ/year is from bioenergy. This figure corresponds to 33-50% of the projected median renewable energy demand in 2050 across the 1.5 degrees C stabilization scenarios. Mapping the suitability of renewable energy sources across different local, environmental, and socio-economic constraints will help identify the best implementation options for future energy systems transformation. (c) 2020 The Authors. Published by Elsevier Ltd. This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/).",Y,Y,Global,Global,spatial analysis,Yes,Not considered,Not included,,,,,,,
food energy suitability,"Mehta, K; Shah, MJ; Zörner, W",Agri-PV (Agrivoltaics) in Developing Countries: Advancing Sustainable Farming to Address the Water-Energy-Food Nexus,ENERGIES,,"The escalating demand for water, energy, and food, coupled with the imperative for sustainable development, necessitates innovative solutions to address the complex interdependencies within the water-energy-food nexus. In this context, agriculture and photovoltaics (Agri-PV or Agri-voltaics) systems have emerged as a promising approach to promoting sustainable agricultural practices while enhancing energy efficiency and food production. However, limited research, especially on the technical aspects of Agri-PV, has resulted in a knowledge gap regarding how to model and determine the suitability of Agri-PV for different crops based on local conditions. This study presents a novel approach to modeling and simulating Agri-PV systems for various major crops in developing countries, using Uzbekistan as a case study. It provides a blueprint for selecting suitable Agri-PV systems. The research investigates the technical feasibility of Agri-PV technology tailored to Uzbekistan's agricultural landscape, with broader implications for Central Asia. Employing a systematic methodology, the study begins by selecting appropriate sites and crops for Agri-PV system testing, ensuring the relevance and applicability of the research findings to the local context. Using advanced software tools such as PVSyst, the study accurately calculates photosynthetically active radiation (PAR) values specific to selected crops, bridging a significant knowledge gap and providing empirical data essential for informed decision making. The methodology further incorporates an in-depth analysis of economic and technical considerations in selecting PV modules and inverters, enhancing the scientific accuracy of the study. By strategically modeling Agri-PV systems based on parameters like row density, module distance, and tilt angle, this research aims to optimize the integration of photovoltaic technology with agricultural practices in Uzbekistan. Moreover, this study helps to understand the impact of Agri-PV systems on the water-energy-food nexus, providing valuable insights into the potential benefits and challenges specific to the region. The study identifies the positive impact of Agri-PV on major crops and provides a suitable design and modeling approach for sustainable farming practices.",Y,Y,Uzbekistan,Other Asia,"technical fessibility assessment used modelling, no spatial analysis",No,Not considered,Not included,,,,,,,
food energy suitability,"Curioni, M; Galli, N; Manzolini, G; Rulli, MC",Global Land-Water Competition and Synergy Between Solar Energy and Agriculture,EARTHS FUTURE,,"The food and energy systems face mounting challenges due to increasing demands and sustainability constraints, which impact their ability to efficiently utilize natural resources, such as land and freshwater. Among these challenges, competition for land between large-scale renewable energy production plants and agriculture poses a risk, especially for photovoltaics. Agrivoltaics offers an opportunity to synergistically use land for simultaneous production of energy and food. Recent studies have investigated the upscaling potential of agrivoltaics, moving from field scale analyses to larger-scale suitability assessments. Yet, studies addressing the interaction between crop dynamics and local climatic factors, as well as explicitly investigating hydrological dynamics of agrivoltaics across crops and climates, are still limited. Here, we first superpose a spatial data set of existing photovoltaic farms with different land use/land cover maps to assess the magnitude of land use competition associated with photovoltaics. Then, we use a spatialized agro-hydrological model to simulate the response to different levels of radiation attenuation of 22 non-irrigated crops in their harvested areas across the globe. We find that 22%-35% of rainfed harvested areas globally would maintain their yields if converted to agrivoltaics, while 13%-16% of ground-mounted photovoltaic plants globally are associated with a cropland to non-cropland transition. While carrying the typical limitations and uncertainties of global studies, our results may offer novel possibilities for cross-crop and cross-location comparisons of agrivoltaic experiences, as well as a basis to have a deeper and cross-scale understanding of the feasibility of photovoltaics.",Y,Y,Global,Global,spatial analysis,Yes,Not considered,Not included,,,,,,,
food energy suitability,"Newman, RJS; Enns, C; Capitani, C; Thorn, JPR; Courtney-Mustaphi, CJ; Buckton, SJ; Om, ES; Fazey, I; Haji, TA; Nchimbi, AY; Kariuki, RW; Marchant, RA",Kesho' Scenario Development for Supporting Water-Energy Food Security under Future Conditions in Zanzibar,LAND,,"Social-ecological interactions mediate water-energy-food security in small developing islands, but community-scale insights are underrepresented in nexus research. These interactions are dynamic in their response to environmental and anthropogenic pressures and need to be understood to inform sustainable land use planning into the future. This study centered on bringing together diverse stakeholders to explore water-energy-food futures using the Kesho (meaning tomorrow in Kiswahili) scenario tool for two of the largest islands that comprise the Zanzibar Archipelago. The methodology comprised four core stages: (1) exploration of how past drivers of change impacted water-energy-food security; (2) modeling of a Business as Usual Scenario for land cover change; (3) narrative development to describe alternative futures for 2030 based on themes developed at the community scale; and (4) predictions about how narratives would shape land cover and its implications for the nexus. These results were used to model alternate land cover scenarios in TerrSet IDRISI (v. 18.31) and produce visual representations of expected change. Findings demonstrated that deforestation, saltwater incursion, and a reduction in permanent waterbodies were projected by 2030 in a Business as Usual Scenario. Three alternative scenario narratives were developed, these included Adaptation, Ecosystem Management, and Settlement Planning. The results demonstrate that the effectiveness of actions under the scenario options differ between the islands, indicating the importance of understanding the suitability of national policies across considered scales. Synergies across the alternative scenario narratives also emerged, including integrated approaches for managing environmental change, community participation in decision making, effective protection of forests, cultural sensitivity to settlement planning, and poverty alleviation. These synergies could be used to plan strategic action towards effectively strengthening water-energy-food security in Zanzibar.",Y,Y,Tanzania,Africa,spatial modelling,Yes,Not considered,Not included,,,,,,,
food energy suitability,"Zhang, JJ; Chen, Y; Rao, YH; Fu, MC; Prishchepov, AV",Alternative spatial allocation of suitable land for biofuel production in China,ENERGY POLICY,,"How to select locations for biofuel production is still a critical consideration for balance of crop and biofuel productions as well as of energy consumption and environmental conservation. Biofuels are widely produced all over the world, but this practice in China is still at the initial stage. Based on China's current stage on food security and changing biofuel demands, this paper selected agro-environmental and socio-economic factors of biofuel production, and simulated and spatially allocated areas suited for biofuel production under the two scenarios of planning-oriented scenario (PoS) and biofuel-oriented scenario (BoS) by the target year 2020. It also estimated biofuel production potentials and zones across China's provinces. The results show that land suited for biofuel production is primarily located in Northwestern, Northern, Northeastern, Central and Southwestern China, with relatively good agro-environmental conditions and medium population density, but also lower competition with crop production, aiming at facilitating governmental policy-making and multi-purpose allocation of land.",Y,Y,China,Other Asia,spatial analysis,Yes,Not considered,Not included,,,,,,,
